title,date_reprise,date_sortie,duration,director,actors,genre,nationality,press_rating,nb_press,spec_rating,nb_spec
House of Gucci,2021,24 novembre 2021,2h37min,"['Roberto Bentivegna', 'Becky Johnston']","['Lady Gaga', 'Adam Driver', 'Al Pacino']","['Biopic,', 'Drame']","['américain,', 'canadien']","2,9",27,"3,7",3264
Twist À Bamako,2021,5 janvier 2022,2h09min,"['Robert Guédiguian', 'Gilles Taurand']","['Stéphane Bak', 'Alicia Da Luz Gomes', 'Saabo Balde']","['Drame,', 'Historique']","['français,', 'canadien,', 'sénégalais']","3,6",29,"3,4",189
Lamb,2021,29 décembre 2021,1h46min,"['Valdimar Jóhannsson', 'Sjón']","['Noomi Rapace', 'Hilmir Snær Guðnason', 'Björn Hlynur Haraldsson']","['Drame,', 'Epouvante-horreur']","['islandais,', 'suédois,', 'polonais']","3,5",29,"3,1",358
Ouistreham,2020,12 janvier 2022,1h46min,"['Emmanuel Carrère', 'Hélène Devynck']","['Juliette Binoche', 'Hélène Lambert', 'Léa Carne']",['Drame'],['français'],"3,5",35,"3,8",170
S.O.S. Fantômes : L'Héritage,2021,1 décembre 2021,2h04min,"['Gil Kenan', 'Jason Reitman']","['Carrie Coon', 'Finn Wolfhard', 'Mckenna Grace']","['Aventure,', 'Action,', 'Comédie']",['américain'],"3,0",23,"3,6",2253
Chère Léa,2020,15 décembre 2021,1h30min,['Jérôme Bonnell'],"['Grégory Montel', 'Grégory Gadebois', 'Anaïs Demoustier']","['Comédie', 'dramatique']",['français'],"3,4",23,"2,9",274
Impardonnable,2021,10 décembre 2021,1h52min,"['Peter Craig', 'Hillary Seitz']","['Sandra Bullock', ""Vincent D'Onofrio"", 'Jon Bernthal']","['Drame,', 'Thriller']",['américain'],"3,3",4,"3,9",1163
Clifford,2021,1 décembre 2021,1h37min,"['Jay Scherick', 'David Ronn']","['Russell Peters', 'Darby Camp', 'Jack Whitehall']","['Famille,', 'Aventure,', 'Comédie']",['américain'],"2,4",9,"3,1",274
Vaillante,2021,2 février 2022,1h33min,"['Jennica Harper', 'Laurent Zeitoun']","['Alice Pol', 'Vincent Cassel', 'Valérie Lemercier']","['Animation,', 'Famille,', 'Comédie']","['français,', 'canadien']",nan,nan,nan,nan
Placés,2021,12 janvier 2022,1h51min,"['Nessim Chikhaoui', 'Hélène Fillières']","['Shaïn Boumedine', 'Julie Depardieu', 'Philippe Rebbot']","['Comédie', 'dramatique']",['français'],"3,3",16,"4,1",114
La Méthode Williams,2021,1 décembre 2021,2h18min,['Zach Baylin'],"['Will Smith', 'Saniyya Sidney', 'Demi Singleton']","['Drame,', 'Biopic']",['américain'],"3,1",21,"4,2",1155
Permis de construire,2020,9 mars 2022,1h33min,"['Eric Fraticelli', 'Didier Bourdon']","['Didier Bourdon', 'Eric Fraticelli', 'Anne Consigny']",['Comédie'],['français'],nan,nan,nan,nan
A Perfect Enemy,2020,29 décembre 2021,1h30min,"['Cristina Clemente', 'Fernando Navarro']","['Tomasz Kot', 'Athena Strates', 'Marta Nieto']",['Thriller'],"['espagnol,', 'allemand,', 'français']","2,3",6,"3,3",53
Les Bodin's en Thaïlande,2021,17 novembre 2021,1h38min,['Frédéric Forestier'],"['Vincent Dubois', 'Jean-Christian Fraiscinet', 'Bella Boonsang']","['Aventure,', 'Comédie']",['français'],"2,0",4,"2,9",597
Les Choses humaines,2021,1 décembre 2021,2h18min,"['Yaël Langmann', 'Yvan Attal']","['Ben Attal', 'Suzanne Jouannet', 'Charlotte Gainsbourg']","['Drame,', 'Judiciaire']",['français'],"3,1",28,"3,9",988
La Leçon d'allemand,2019,12 janvier 2022,2h05min,"['Heide Schwochow', 'Siegfried Lenz']","['Ulrich Noethen', 'Tobias Moretti', 'Levi Eisenblätter']","['Drame,', 'Historique']",['allemand'],"2,9",15,"2,9",14
