name,time,value,unit_of_measurement,physical_measurement,subsystem,equipment,logical_id,towards_equipment,direction,control_status,computation_time,computation_interval,deviceId,time_year,time_month,time_dayofmonth
B_MODE,2023-01-20T08:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T08:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T09:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T09:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T10:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T10:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T11:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T11:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T12:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T12:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T13:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T13:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T14:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
